sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
11.0,2,1,1,0,Proiectul,397,1765617086698,1765617087095,757.86,151,"1,0,0,0,0,0"
11.0,2,1,1,1,MultiplEYE,554,1765617087095,1765617087649,904.27,151,"1,0,0,0,0,0"
11.0,2,1,1,2,Numele,395,1765617087649,1765617088044,1040.88,151,"1,0,0,0,0,0"
11.0,2,1,1,3,„MultiplEYE”,800,1765617088044,1765617088844,1220.5,151,"1,0,0,0,0,0"
11.0,2,1,1,8,cuvinte,248,1765617089346,1765617089594,1562,151,"1,0,0,0,0,0"
11.0,2,1,1,10,combină,1400,1765617089746,1765617091146,1764.67,151,"1,0,0,0,0,0"
11.0,2,1,1,11,„multilingvism”,1000,1765617091146,1765617092146,791.32,227,"1,0,0,0,0,0"
11.0,2,1,1,12,sau,248,1765617092146,1765617092394,946.75,227,"1,0,0,0,0,0"
11.0,2,1,1,13,„limbi,455,1765617092394,1765617092849,1026.71,227,"1,0,0,0,0,0"
11.0,2,1,1,11,„multilingvism”,697,1765617092898,1765617093595,752.6,227,"1,0,0,0,0,0"
11.0,2,1,1,0,Proiectul,351,1765617093595,1765617093946,736.5,151,"1,0,0,0,0,0"
11.0,2,1,1,1,MultiplEYE,248,1765617093946,1765617094194,912,151,"1,0,0,0,0,0"
11.0,2,1,1,0,Proiectul,348,1765617094546,1765617094894,743,151,"1,0,0,0,0,0"
11.0,2,1,1,11,„multilingvism”,355,1765617094894,1765617095249,800,227,"1,0,0,0,0,0"
11.0,2,1,1,13,„limbi,351,1765617095395,1765617095746,1009.83,227,"1,0,0,0,0,0"
11.0,2,1,1,14,multiple”,400,1765617095746,1765617096146,1156.75,227,"1,0,0,0,0,0"
11.0,2,1,1,16,„eye”,249,1765617096297,1765617096546,1317.6,227,"1,0,0,0,0,0"
11.0,2,1,1,17,(ochi),400,1765617096546,1765617096946,1407.57,227,"1,0,0,0,0,0"
11.0,2,1,1,19,„eye-tracking”,498,1765617097146,1765617097644,1627,227,"1,0,0,0,0,0"
11.0,2,1,1,20,(urmărire,1650,1765617097644,1765617099294,1819.62,227,"1,0,0,0,0,0"
