SubjectId,ItemId,Experiment,Condition,QuestionNumber,Question,UserAnswer,CorrectAnswer,IsCorrect,Score
,0.0,0.0,0.0,1,Care este distanța medie de la Pământ la Lună?,30.000 km,384.400 km,False,0/2
,0.0,0.0,0.0,2,De ce este Luna întotdeauna orientată spre Pământ cu aceeași față?,Pentru că Soarele o menține în aceeași poziție,Pentru că perioada sa de rotație este egală cu perioada sa de revoluție,False,0/2
,4.0,2.0,1.0,1,De ce a vrut băiatul să citească cărți mai groase?,Pentru a o impresiona pe fiica negustorului.,Pentru că erau perne mai confortabile.,False,2/6
,4.0,2.0,1.0,2,Ce a văzut băiatul când s-a trezit?,Arborele de sicomor.,Stelele.,False,2/6
,4.0,2.0,1.0,3,De ce a blocat băiatul intrarea?,Pentru ca lupii să nu atace oile.,Voia să țină oile înăuntru.,False,2/6
,4.0,2.0,1.0,4,Unde a dormit băiatul?,Într-un cort.,Într-o biserică.,False,2/6
,4.0,2.0,1.0,5,Cum era relația turmei cu băiatul?,Oile erau companioanele băiatului și vice-versa.,Oile erau companioanele băiatului și vice-versa.,True,2/6
,4.0,2.0,1.0,6,Ce obiectiv personal își propunea băiatul în continuare?,Voia să meargă în sat să o vadă pe fiica negustorului.,Voia să meargă în sat să o vadă pe fiica negustorului.,True,2/6
,2.0,2.0,1.0,1,"Care aspecte sunt considerate drept fundamentul libertății, dreptății și păcii în lume?",Recunoașterea demnității și a drepturilor egale ale fiecărei persoane.,Recunoașterea demnității și a drepturilor egale ale fiecărei persoane.,True,4/6
,2.0,2.0,1.0,2,Ce este considerată a fi cea mai înaltă aspirație a omenirii?,"Trăirea unei vieți de pace, precum și o viață lipsită de criză.","Trăirea unei vieți cu libertatea cuvântului și a convingerilor, lipsită de teamă și lipsuri.",False,4/6
,2.0,2.0,1.0,3,Care este scopul Declarației universale a drepturilor omului?,"Stabilirea standardelor pentru libertate, justiție și pace.","Stabilirea standardelor pentru libertate, justiție și pace.",True,4/6
,2.0,2.0,1.0,4,Care este legătura dintre Carta Organizației Națiunilor Unite și Declarația drepturilor omului?,Carta afirmă credința comună în drepturile omului în rândul statelor membre.,Carta afirmă credința comună în drepturile omului în rândul statelor membre.,True,4/6
,2.0,2.0,1.0,5,Care este ideea principală comunicată în Declarația universală a drepturilor omului?,Promovarea unei guvernări echitabile prin asigurarea tratamentului egal al tuturor cetățenilor.,Recunoașterea demnității inerente și a drepturilor egale ale tuturor oamenilor.,False,4/6
,2.0,2.0,1.0,6,De ce este util acest text ca introducere a Declarației drepturilor omului?,Acesta clarifică scopul și domeniul de aplicare al documentului.,Acesta clarifică scopul și domeniul de aplicare al documentului.,True,4/6
,8.0,2.0,1.0,1,Cum era suprafața planetei?,Avea puține puține platouri ce se ridicau deasupra oceanului.,Avea puține puține platouri ce se ridicau deasupra oceanului.,True,4/6
,8.0,2.0,1.0,2,Care a fost caracterizarea inițială a oceanului de pe planeta Solaris făcută de biologi?,Oceanul era o structură evoluată organic care înconjura întregul glob.,"Oceanul era o entitate fluidă, o formă primitivă de viață.",False,4/6
,8.0,2.0,1.0,3,De ce a fost considerată imposibilă viața pe planeta Solaris?,Din cauza orbitei planetei în jurul mai multor sori.,Din cauza orbitei planetei în jurul mai multor sori.,True,4/6
,8.0,2.0,1.0,4,Cum au contribuit datele sateloidului Luna 247 la înțelegerea științifică a comportamentului oceanului pe Solaris?,Aceasta a arătat că mișcările oceanului erau interconectate cu gravitația lui Solaris.,Aceasta a arătat că mișcările oceanului erau interconectate cu gravitația lui Solaris.,True,4/6
,8.0,2.0,1.0,5,Care este ideea principală transmisă de acest text?,Înțelegerea ecosistemelor unice este vitală pentru conservarea mediului.,Este dificil să dezvolți o teorie științifică general acceptată.,False,4/6
,8.0,2.0,1.0,6,Ce tip de text este acesta?,Științifico-fantastic.,Științifico-fantastic.,True,4/6
,1.0,2.0,1.0,1,Ce este o acțiune COST?,Este o rețea de cercetători finanțată de Uniunea Europeană.,Este o rețea de cercetători finanțată de Uniunea Europeană.,True,4/6
,1.0,2.0,1.0,2,Pentru ce folosesc membrii proiectului MultiplEYE un eye-tracker?,Pentru a măsura semnificația unui text și a structurilor sale gramaticale.,Pentru a măsura punctul de fixare a privirii și mișcările oculare.,False,4/6
,1.0,2.0,1.0,3,De ce este utilă urmărirea oculară pentru studiul limbajului în cadrul proiectului?,Urmărirea oculară va fi utilizată pentru a deduce modul în care oamenii înțeleg un text în timp ce citesc.,Urmărirea oculară va fi utilizată pentru a deduce modul în care oamenii înțeleg un text în timp ce citesc.,True,4/6
,1.0,2.0,1.0,4,Care este obiectivul general al cercetătorilor din cadrul proiectului MultiplEYE?,Colectarea de texte pentru a facilita cercetarea în numeroase domenii ale lingvisticii.,Colectarea datelor de urmărire oculară pentru facilitarea cercetării interdisciplinare asupra cititului.,False,4/6
,1.0,2.0,1.0,5,Care este una dintre provocările majore ale proiectului MultiplEYE?,Asigurarea faptului că participanții citesc traduceri de calitate ale textelor în limba lor specifică.,Asigurarea faptului că participanții citesc traduceri de calitate ale textelor în limba lor specifică.,True,4/6
,1.0,2.0,1.0,6,Ce informații transmite textul?,Obiectivul principal al proiectului și infrastructura de colaborare.,Obiectivul principal al proiectului și infrastructura de colaborare.,True,4/6
,11.0,2.0,1.0,1,Când și-a început profesoara activitatea sa de teren?,Acum nouă luni.,Acum nouă luni.,True,6/6
,11.0,2.0,1.0,2,Ce mister a rămas după ce s-a descoperit cum au fost mutate statuile?,Motivul pentru care au dispărut copacii mari.,Motivul pentru care au dispărut copacii mari.,True,6/6
