Unnamed: 0,instruction_screen_id,instruction_screen_name,instruction_screen_text,comment,instruction_screen_img_name,instruction_screen_img_path
0,1,welcome_screen,"Bine ați venit la studiul MultiplEYE




Când sunteți gata, vă rugăm să apăsați bara de spațiu pentru a trece la instrucțiuni.",acesta este ecranul pe care participanții îl vor vedea la intrarea în laborator,welcome_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/welcome_screen_RO.png
1,2,empty_screen,,Las acest lucru aici doar de dragul transparenței.,empty_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/empty_screen_RO.png
2,3,fixation_screen,,"punct de fixare în colțul din stânga sus, fără text",fixation_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/fixation_screen_RO.png
3,4,obligatory_break_screen,"Acum ar trebui să luați o pauză de 5 minute. Nu ezitați să vă ridicați, să vă mișcați capul, să vă relaxați ochii și să luați niște apă.",prezentat înainte de pauza obligatorie,obligatory_break_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/obligatory_break_screen_RO.png
4,5,optional_break_screen,"Dacă doriți, puteți lua acum o pauză pentru a vă odihni sau pentru a bea niște apă. Sau puteți continua lectura apăsând bara de spațiu.",Acest ecran poate fi afișat atunci când există o opțiune pentru o pauză,optional_break_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/optional_break_screen_RO.png
5,6,final_screen,Vă mulțumim! Ați terminat partea de citire!,,final_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/final_screen_RO.png
6,7,practice_screen,"Acum, vom începe cu două texte de exersare, astfel încât să vă puteți face o idee despre procedura experimentului. Dacă ceva nu este clar sau dacă aveți întrebări, vă rugăm să vorbiți cu experimentatorul.

Vă rugăm să vă uitați la punctul negru din colțul din dreapta jos al ecranului și să apăsați bara de spațiu pentru a începe cu textele de exersare.",Chiar înainte de stimuli de practică,practice_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/practice_screen_RO.png
7,8,transition_screen,"Ați completat textele de exersare. Urmează să începem experimentul. Vă rugăm să încercați să vă mișcați cât mai puțin posibil în timp ce citiți textele. Este posibil să fie nevoie să recalibrăm dispozitivul de urmărire a ochilor dacă vă mișcați prea mult. Dacă aveți nevoie de o pauză în timpul experimentului, vă rugăm să informați experimentatorul.

Vă rugăm să vă uitați la punctul din colțul din dreapta jos al ecranului și apoi să apăsați bara de spațiu pentru a începe.","După stimuli de practică, înainte de primul stimul",transition_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/transition_screen_RO.png
8,9,informed_consent_screen,"Înainte de a începe experimentul, vă solicităm să completați un formular de consimțământ scris. În acesta, vom explica procedura experimentală, precum și utilizarea și protecția datelor dumneavoastră.

Experimentatorul vă va furniza acest formular acum.

După ce ați semnat formularul, vă rugăm să vă uitați la punctul negru din colțul din dreapta jos al ecranului și să apăsați bara de spațiu pentru a continua.",Afișat imediat după ecranul de întâmpinare. Participanții trebuie să semneze consimțământul informat.,informed_consent_screen_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/informed_consent_screen_RO.png
9,10,instruction_screen_2,"Fiecare text va fi afișat pe mai multe ecrane. Înainte de fiecare ecran de text nou, veți vedea un punct negru cu un centru alb în colțul din stânga sus al ecranului. Trebuie să vă concentrați ochii pe centrul alb al punctului pentru a trece la următorul ecran. Vom folosi acest lucru pentru a verifica acuratețea urmăririi ochilor. Experimentatorul vă va sfătui dacă acest lucru este necesar, dacă nu, veți trece automat la următorul ecran.

Când ați terminat de citit fiecare ecran, vă rugăm să urmați aceeași procedură pentru a trece mai departe. Uitați-vă la **punctul negru** afișat în colțul din dreapta jos al ecranului. În timp ce vă uitați la punct, apăsați **bara de spațiu** pentru a trece la ecranul următor. **Vă rugăm să rețineți că nu vă veți putea întoarce la un ecran pe care l-ați citit deja.**

Urmați procedura de mai sus pentru a continua la ecranul următor.",,instruction_screen_2_RO.png,data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/participant_instructions_images_RO_RO_1/instruction_screen_2_RO.png
